addr	state	modules	config_names	config_kinds	verified_name	verified_kind	verdict	proposed	note
0x0200f9e4	DIVERGED	arm9	_ZN8dActor_c17TrackInDeathTableEv	function	_ZN5Actor17TrackInDeathTableEv	function	class-rename	_ZN8dActor_c17TrackInDeathTableEv	
0x0200f9f4	DIVERGED	arm9	_ZN8dActor_c18GetBitInDeathTableEv	function	_ZN5Actor18GetBitInDeathTableEv	function	class-rename	_ZN8dActor_c18GetBitInDeathTableEv	
0x0200fac4	DIVERGED	arm9	_ZN8dActor_c13LandingDustAtER7Vector3b	function	_ZN5Actor13LandingDustAtER7Vector3b	function	class-rename	_ZN8dActor_c13LandingDustAtER7Vector3b	
0x0200fb4c	DIVERGED	arm9	_ZN8dActor_c15HugeLandingDustEb	function	_ZN5Actor15HugeLandingDustEb	function	class-rename	_ZN8dActor_c15HugeLandingDustEb	
0x0200fb84	DIVERGED	arm9	_ZN8dActor_c17HugeLandingDustAtER7Vector3b	function	_ZN5Actor17HugeLandingDustAtER7Vector3b	function	class-rename	_ZN8dActor_c17HugeLandingDustAtER7Vector3b	
0x0200fc0c	DIVERGED	arm9	_ZN8dActor_c11LandingDustEb	function	_ZN5Actor11LandingDustEb	function	class-rename	_ZN8dActor_c11LandingDustEb	
0x0200fd04	DIVERGED	arm9	_ZN8dActor_c19DisappearPoofDustAtERK7Vector3	function	_ZN5Actor19DisappearPoofDustAtERK7Vector3	function	class-rename	_ZN8dActor_c19DisappearPoofDustAtERK7Vector3	
0x0200fd40	DIVERGED	arm9	_ZN8dActor_c13SmallPoofDustEv	function	_ZN5Actor13SmallPoofDustEv	function	class-rename	_ZN8dActor_c13SmallPoofDustEv	
0x0200fd74	DIVERGED	arm9	_ZN8dActor_c16TriplePoofDustAtERK7Vector3	function	_ZN5Actor16TriplePoofDustAtERK7Vector3	function	class-rename	_ZN8dActor_c16TriplePoofDustAtERK7Vector3	
0x0200fdc8	DIVERGED	arm9	_ZN8dActor_c14TriplePoofDustEv	function	_ZN5Actor14TriplePoofDustEv	function	class-rename	_ZN8dActor_c14TriplePoofDustEv	
0x0200fdfc	DIVERGED	arm9	_ZN8dActor_c10PoofDustAtERK7Vector3	function	_ZN5Actor10PoofDustAtERK7Vector3	function	class-rename	_ZN8dActor_c10PoofDustAtERK7Vector3	
0x0200fe3c	DIVERGED	arm9	_ZN8dActor_c8PoofDustEv	function	_ZN5Actor8PoofDustEv	function	class-rename	_ZN8dActor_c8PoofDustEv	
0x0200fec8	DIVERGED	arm9	_ZN8dActor_c17GetWaterHeightWDWEv	function	_ZN5Actor17GetWaterHeightWDWEv	function	class-rename	_ZN8dActor_c17GetWaterHeightWDWEv	
0x0200ff14	DIVERGED	arm9	_ZN8dActor_c19UntrackAndSpawnStarERajRK7Vector3h	function	_ZN5Actor19UntrackAndSpawnStarERajRK7Vector3j	function	class-rename+signature-fix	_ZN8dActor_c19UntrackAndSpawnStarERajRK7Vector3h	
